primerid,logFC,pvalue,padj,regulation
MCM3AP-AS1,,0.118986080515075,0.401127121473514,stable
MCM4,,0.0110701744600623,0.0963144573664071,stable
MCM6,,0.216438371416841,0.536661795577986,stable
MFAP5,,0.338444299990212,0.663550361030887,stable
MFSD4,,0.441818966018884,0.746784043736745,stable
MICAL3,,0.340630537300335,0.665579873395027,stable
MICALL1,,0.117719296194315,0.399093069845883,stable
MICB,,0.0500514212530757,0.246176008435897,stable
MILIP,,0.103396552101217,0.373609060858787,stable
MIR181A2HG,,0.0664939702190994,0.291752437888827,stable
MIR4453,,0.236637898352974,0.55930073959766,stable
MISFA,,0.228214587471549,0.550133931873238,stable
MLF1-DT,,0.060943007073748,0.277336622601591,stable
MMP17,,0.131159977781082,0.420850123825143,stable
MPRIP-AS1,,0.365832797934359,0.687574977865275,stable
MS4A4A,,0.0040927197884126,0.0487259254007015,stable
MSS51,,0.0422839642133925,0.226237472632505,stable
MT1G,,0.1248896504587,0.410279786940916,stable
MTCP1,,0.0897933435561654,0.343972697475662,stable
MUM1L1,,0.00949915284850102,0.0879013205299594,stable
MX2,,0.0830936359791776,0.330789210190746,stable
MYO15A,,0.119373632229649,0.401799501820223,stable
N4BP3,,0.440754378076116,0.746023472390258,stable
NAMPT-AS1,,0.56179349558753,0.827995275448332,stable
NAT1,,0.328032114305826,0.65456755182582,stable
NEK5,,0.0182369679601919,0.133997772207591,stable
NEU3,,0.163118828070374,0.468176697424808,stable
NEURL2,,0.159244331295841,0.462815669462757,stable
NFATC2,,0.00155527149715432,0.0237052852633595,stable
NFYC-AS1,,0.046274769995662,0.236912213043913,stable
NHSL2,,0.0181374030255271,0.133642592397614,stable
NIFK-AS1,,0.0266041606026476,0.169822067470895,stable
NIPAL1,,0.0286479180465493,0.17766883186514,stable
NKILA,,0.226495133998882,0.548361362250412,stable
NKX2-8,,0.0608555567419444,0.277263632356887,stable
NKX3-1,,0.0567900760489303,0.26445786271319,stable
NOMO2,,0.0584664070549334,0.269642226085442,stable
NPIPA6,,0.0426646076120092,0.22714815481237,stable
NPIPB4,,0.106177208315031,0.378589328525401,stable
NPM2,,0.269705299656945,0.596936009959532,stable
NPM3,,0.0488535394365763,0.243464187664949,stable
NR1H3,,0.0348775278100831,0.200537582290901,stable
NRGN,,0.310308672066988,0.638373141593211,stable
NRXN3,,0.00218562797506513,0.0307800879806407,stable
NUPR2P1,,0.0295424367836592,0.181243950430268,stable
NYNRIN,,0.0256499995927699,0.16589714022329,stable
OCA2,,0.0354203945812376,0.202619450106957,stable
ODAD3,,0.226309173382542,0.548019678175157,stable
ORAI2,,0.0223607542647263,0.153646914070834,stable
ORC6,,0.207542364948982,0.525584808190668,stable
PAN3-AS1,,0.283085474505978,0.610737176202095,stable
PATJ-DT,,0.07500558565009,0.311966069747091,stable
PATL2,,0.0824934894528409,0.329233762524393,stable
PBLD,,0.0424107980460296,0.22656843612016,stable
PCBP3,,0.128617217322891,0.416814523882769,stable
PCDH17,,0.0458033686526888,0.23569717489359,stable
PCDHAC1,,0.0465526501677708,0.236917203272896,stable
PCP2,,0.254540652856401,0.580087668579591,stable
PDE4DIPP6,,0.35776026476221,0.680133977675467,stable
PDK1,,0.0711992839019826,0.303148744833798,stable
PDSS1,,0.0892761523601236,0.342748645241882,stable
PEG3,,0.347481892860172,0.671842616297965,stable
PFKFB4,,0.0324711074836772,0.19138226513041,stable
PGAP1,,0.000272489481544868,0.00609245847645582,stable
PGBD4,,0.0319237858656021,0.189435125447146,stable
PHF19,,0.377413290379971,0.696798076061737,stable
PHLDB3,,0.22714945358114,0.549276442033441,stable
PIK3R2,,0.246858356670291,0.572185414451699,stable
PIK3R3,,0.00180783222445487,0.0267218151290645,stable
PIP4K2A,,0.211265201044291,0.530395295602957,stable
PITPNM3,,0.105465966121485,0.377365127427567,stable
PLA2G4C,,0.00492999324596497,0.0556456486045021,stable
PLD6,,0.0233657182963846,0.157541390212358,stable
PLEK2,,0.0526933452843219,0.253691789190843,stable
PLEKHF1,,0.0188951447549825,0.137730619847887,stable
PLGLB1,,0.18076510651326,0.493010410981278,stable
PLK4,,0.149773817614084,0.448514244614054,stable
PNMA2,,0.198171732235984,0.515305521134369,stable
POC1A,,0.111841782566035,0.387076429809515,stable
POLA2,,0.04493860938165,0.233757260034591,stable
POLG2,,0.000826354482245941,0.0145134442399057,stable
POLR1HASP,,0.0190917815814163,0.138832800744338,stable
POT1-AS1,,0.161016509680378,0.46489905056295,stable
POU2F3,,0.389153276691651,0.706102071289705,stable
POU5F2,,0.143058233698477,0.437965840911865,stable
PPFIA3,,0.0926380846203528,0.349922624606335,stable
PPM1N,,0.172250999613793,0.482441390016082,stable
PPP5D1P,,0.140896358918433,0.434353324035004,stable
PRDM15,,0.0280989438138161,0.175424662502598,stable
PRDX6-AS1,,0.024202542059179,0.160789062027937,stable
PRKCA,,0.0365735091226609,0.206326910859474,stable
PRMT8,,0.096615171396468,0.357908696395339,stable
PRNCR1,,0.046637178460518,0.236917203272896,stable
PROM2,,0.0929291005366246,0.350606581777685,stable
PRR22,,0.283606455186639,0.610998468135615,stable
PRRG1,,0.0723382743696192,0.306079288990732,stable
PSD,,0.0927019319828333,0.349922624606335,stable
PSMD6-AS2,,0.04440158709479,0.232102575679079,stable
PYCR1,,0.127544293884439,0.414661643266204,stable
RAB3A,,0.0483251456555385,0.241902776614784,stable
RAB43,,0.0289038869181595,0.17868020955067,stable
RAD54B,,0.0584943135738602,0.269642226085442,stable
RASGRF1,,0.0786964618724582,0.322034366897066,stable
RBM44,,0.190920521775423,0.506249990929018,stable
RCSD1,,0.0281913286489056,0.175732178176554,stable
REP15,,0.00744529025437473,0.0744772733792772,stable
RGMA,,0.212449041121533,0.531513933415803,stable
RGMB-AS1,,0.137789793175189,0.430447848651549,stable
RGS6,,0.021956248617291,0.151980915845606,stable
RHBDL1,,0.0309274792310778,0.185504173758928,stable
RNF215,,0.00233263482133834,0.0320383461303818,stable
RNU12,,0.176489011022627,0.487469390482361,stable
ROM1,,0.307860220355824,0.636158201163524,stable
RPP14-1,,0.132239111703934,0.422951185228404,stable
