leiden,gene,mean_expr,pct_expr
10,SAA2,0.5834394,33.20158
10,IL8,-0.18010563,0.03764352
10,CXCL1,0.42526868,37.323547
10,CXCL2,0.23536183,8.846227
10,DUOX2,0.4486311,41.55844
10,DUOXA2,0.81487113,40.974964
10,S100A8,0.45843995,45.774517
10,S100A9,-0.12538496,37.737625
10,IFI27,0.37034497,81.21589
10,IFITM3,0.05779044,54.71485
10,FOS,1.2521688,91.6055
10,JUN,0.40536994,65.462074
10,ATF3,0.8971349,41.144363
10,DUSP1,0.8056655,68.32298
10,IER2,0.42192924,59.815544
10,HSPA1A,-0.42259824,14.398644
10,CD74,0.9841484,95.12516
10,HLA-DRA,0.114255406,52.079803
10,HLA-DRB1,0.24010937,47.694336
10,HLA-DPA1,0.4800842,31.225296
10,MMP7,-0.17870216,0.41407868
10,PIP,-0.19100866,1.1104836
10,TCN1,-0.19963492,12.591755
10,CLU,-0.28486773,33.973274
10,MALAT1,-1.3513942,1.1481272
10,XIST,-0.6278843,0.48936573
10,HBB,-0.21158133,1.5245624
10,HBA2,-0.060260985,1.5433842
11,MUC5AC,-0.8679086,2.2939506
11,MUC5B,-0.29802355,0.46691027
11,MUC2,-0.3227598,0.0
11,BPIFB1,-1.1064712,3.227771
11,PIGR,-1.3175226,13.763703
11,AGR2,-0.77432156,20.46285
11,CLCA1,-0.0403889,0.0
11,TFF3,-0.5736201,3.2683718
11,SCGB1A1,-0.52099174,12.667479
11,SCGB3A1,-0.56349117,9.54121
11,SCGB3A2,-0.008886667,0.020300448
11,SLPI,-0.6884487,16.138855
11,WFDC2,-0.7137921,24.908648
11,MSMB,-0.74334383,13.865206
11,VMO1,-0.8881568,18.940315
11,LCN2,-1.2620704,5.9277306
11,SAA1,-0.38956445,11.469752
11,SAA2,-0.33295888,6.7803493
11,IL8,-0.08613416,3.2683718
11,CXCL1,-0.405487,7.8765736
11,CXCL2,-0.1650838,2.3751523
11,DUOX2,-0.3552297,18.067398
11,DUOXA2,-0.38361752,2.9029639
11,S100A8,-0.1171976,24.03573
11,S100A9,0.61594313,67.27568
11,IFI27,0.59464544,83.942345
11,IFITM3,-0.3338379,35.221275
11,FOS,-0.5628681,14.210312
11,JUN,-0.45820072,20.950062
11,ATF3,-0.2987391,7.1660576
11,DUSP1,-0.4320897,21.924482
11,IER2,-0.47768137,21.741777
11,HSPA1A,-0.13701802,44.011368
11,CD74,-0.026591638,54.5473
11,HLA-DRA,0.14082418,55.96833
11,HLA-DRB1,-0.0657281,43.199352
11,HLA-DPA1,-0.25425076,16.34186
11,MMP7,-0.085625,3.816484
11,PIP,-0.2106855,1.4413316
11,TCN1,-0.033758458,31.932602
11,CLU,-0.5266079,21.254568
11,MALAT1,0.75830096,96.10232
11,XIST,0.44964033,55.765324
11,HBB,0.006682148,13.053187
11,HBA2,-0.03794295,3.410475
12,MUC5AC,0.21515767,51.313835
12,MUC5B,1.3964534,49.62816
12,MUC2,0.57520854,33.88696
12,BPIFB1,0.8186667,81.18493
12,PIGR,0.20071356,72.33515
12,AGR2,0.552857,82.32524
12,CLCA1,0.07166303,1.2394645
12,TFF3,1.1135002,77.887955
12,SCGB1A1,0.65552276,61.5766
12,SCGB3A1,0.16156222,43.30689
12,SCGB3A2,-0.0034740204,0.07436787
12,SLPI,0.9435965,90.70402
12,WFDC2,0.08388889,59.51909
12,MSMB,0.2324212,53.19782
12,VMO1,0.288322,70.57511
12,LCN2,0.06360094,51.95835
12,SAA1,-0.10772118,23.822508
12,SAA2,-0.17458504,14.700049
12,IL8,-0.1826184,0.0
12,CXCL1,0.3963214,43.38126
12,CXCL2,0.123703755,11.229548
12,DUOX2,-0.55527705,2.379772
12,DUOXA2,-0.40328023,0.79325736
12,S100A8,-0.43849936,5.3049083
12,S100A9,-0.5820103,11.279128
12,IFI27,-0.44538033,34.779377
12,IFITM3,-0.14260447,43.604362
12,FOS,0.13985027,51.289047
12,JUN,0.2207905,58.42836
12,ATF3,-0.039083507,21.244423
12,DUSP1,0.18403137,48.388695
12,IER2,0.11868106,52.900345
12,HSPA1A,0.0016830693,49.62816
12,CD74,-0.2352611,41.918694
12,HLA-DRA,-0.026188852,49.504215
12,HLA-DRB1,-0.058917653,42.166584
12,HLA-DPA1,0.020095928,30.540407
12,MMP7,0.17843865,12.444224
12,PIP,-0.17699385,3.891919
12,TCN1,-0.3063035,15.220624
12,CLU,0.12576313,54.610806
12,MALAT1,-0.7322939,30.143776
12,XIST,0.17891103,47.99207
12,HBB,-0.11573537,10.436292
12,HBA2,0.32533786,12.692118
13,MUC5AC,0.708712,71.39907
13,MUC5B,-0.27807087,1.1615901
13,MUC2,-0.28736287,1.1099639
13,BPIFB1,0.82180876,86.03511
13,PIGR,0.6012798,86.73206
13,AGR2,0.11868009,58.079506
13,CLCA1,-0.0403889,0.0
13,TFF3,0.19741459,34.486317
13,SCGB1A1,0.32186463,55.110996
13,SCGB3A1,1.3154536,88.46153
13,SCGB3A2,-0.008334798,0.025813112
13,SLPI,0.32632452,77.3619
13,WFDC2,0.63629556,83.04079
13,MSMB,0.835105,80.87248
13,VMO1,0.8663986,89.958694
13,LCN2,0.39501747,77.20702
13,SAA1,-0.44620776,5.2658753
13,SAA2,-0.38167307,2.1424885
13,IL8,-0.093307145,2.4522457
13,CXCL1,-0.31905264,10.789881
13,CXCL2,-0.20534359,0.7743934
13,DUOX2,-0.33303413,14.068146
13,DUOXA2,-0.29118636,5.8337636
13,S100A8,-0.3715891,10.325246
13,S100A9,-0.5187264,19.721218
13,IFI27,-0.08690364,53.794525
13,IFITM3,0.10926297,62.08054
13,FOS,-0.67472595,13.035623
13,JUN,-0.67514944,16.572018
13,ATF3,-0.38576406,2.0650492
13,DUSP1,-0.62158704,13.035623
13,IER2,-0.5573384,24.88384
13,HSPA1A,-0.48039734,16.442953
13,CD74,0.21197818,66.75271
13,HLA-DRA,-0.40154785,35.647907
13,HLA-DRB1,-0.27699357,33.58286
13,HLA-DPA1,-0.3973457,5.033557
13,MMP7,-0.04737819,3.226639
13,PIP,-0.047047857,5.162623
13,TCN1,0.022972083,25.271038
13,CLU,0.24297595,61.409397
13,MALAT1,0.55520874,96.644295
13,XIST,-0.24898116,20.676304
13,HBB,0.30306458,17.268972
13,HBA2,-0.1237912,0.8518327
14,MUC5AC,-0.016338175,54.699306
14,MUC5B,-0.3016727,0.09066183
14,MUC2,-0.2500698,2.9313993
14,BPIFB1,0.19579771,67.51285
14,PIGR,0.49235696,80.84013
14,AGR2,0.14308679,66.032036
14,CLCA1,-0.0403889,0.0
14,TFF3,-0.39513904,13.417952
14,SCGB1A1,-0.33259562,29.857964
14,SCGB3A1,-0.15105659,37.836205
14,SCGB3A2,-0.010918928,0.0
14,SLPI,-0.8726517,7.676035
14,WFDC2,-0.8286473,6.2254457
14,MSMB,0.49002048,80.26594
14,VMO1,0.39509204,75.97462
14,LCN2,-0.99510765,16.228468
14,SAA1,-0.42732003,4.9259596
14,SAA2,-0.3164112,4.0193415
14,IL8,1.5303357,27.10789
14,CXCL1,-0.12835501,14.868541
14,CXCL2,0.0146250175,4.2611065
14,DUOX2,0.28765395,33.212452
14,DUOXA2,0.08877188,17.104866
14,S100A8,-0.28046384,11.8767
14,S100A9,-0.17386256,31.852522
14,IFI27,-0.47443518,43.185253
14,IFITM3,-0.52580214,30.492596
14,FOS,0.7545561,71.86461
14,JUN,0.79161966,70.77667
14,ATF3,1.580733,54.064674
14,DUSP1,0.6733369,58.02357
14,IER2,0.25417307,51.163494
14,HSPA1A,-0.41620526,15.261409
14,CD74,-0.77743804,30.039288
14,HLA-DRA,-0.67528385,17.920822
14,HLA-DRB1,-0.49176475,17.76972
14,HLA-DPA1,-0.46234894,1.6016923
14,MMP7,-0.11828051,1.4203687
14,PIP,0.21740149,8.703536
14,TCN1,-0.02039833,17.76972
14,CLU,-0.04205367,42.308853
14,MALAT1,0.21696334,73.43608
14,XIST,0.22806554,32.60804
14,HBB,-0.2687645,0.030220611
14,HBA2,-0.17070903,0.030220611
